Archivo,Titulo,Autor,Asunto,Palabras clave,Creador,Fecha de creacion,Fecha de modificacion,Numero de paginas
COL-BISA-1212303-400-00-CR-12004_0.pdf,,,,,,2024-08-02,2024-08-02,21
COL-BISA-1212303-400-00-ES-12004_1.pdf,Microsoft Word - Criterios de diseño mecanico Rev 0.doc,Darwin  Alfaro,,,Microsoft® Word 2016,2024-07-19,2024-07-19,15
CV - ANDY FERNANDEZ ERAZO (3).pdf,,USUARIO,,,Microsoft® Word 2016,2024-12-30,2024-12-30,3
DI1005O1015-601N-01-4011_0.pdf,C:\Users\cpancorbo\Documents\601N-01_SALA_ELECTRICA.pdf,cpancorbo,,,PDF24 Creator,2023-02-15,2023-02-15,1
DI1005O1015-601N-04-4003_2.pdf,Layout1,,,,AutoCAD Plant 3D 2021 - English 2021 (24.0s (LMS Tech)),2023-01-24,2023-01-24,1
DI1005O1015-601N-06-4302_1.pdf,(\\\.10.10.11\\s\\DI\@5\A5\\D. Ejecución\\D.4 Ejecucion\\03 Planos\\06ELECTRICA\\03BANDEJA\\DI1005O1015-601N-06-4302_1.pdf),cparedes,,,PDF24 Creator,2023-02-27,2023-02-27,1
LP13695BA-0000-0400-MAN-00001_REV0.pdf,Microsoft Word - LP13695BA-0000-0400-MAN-00001_REV0,fcorrea,,,PDF24 Creator,2024-09-04,2024-09-04,47
LP13695BA-0560-0400-DWG-00004_REV0.pdf,Layout1,,,,Autodesk Civil 3D 2024 - English 2024 (24.3s (LMS Tech)),2024-10-03,2024-10-03,1
MD-DI1005O1015-601-99-4001_0.pdf,Microsoft Word - Criterios de diseño mecanico Rev 0.doc,Darwin  Alfaro,,,Microsoft® Word 2016,2023-03-01,2023-03-01,88
PARK (1).pdf,PARK,MORALES PALOMINO JOHN ESNEIDER,,"DAGIzV6xuYc,BAE_lnhTgBY",Canva,2024-09-20,2024-09-20,5
QLL-141-01-240006-54-DR-6050-AR5002_1.pdf,Layout3,,,,AutoCAD 2021 - English 2021 (24.0s (LMS Tech)),2023-11-28,2023-11-28,1
Revisiones Layout-Frontend-230325-UIUX (1).pdf,,Augusto Castañeda,,,Microsoft® PowerPoint® para Microsoft 365,2025-03-23,2025-03-28,37
SR-080-03-S180-7160-05-21-0004_3.pdf,Title Block,,,,AutoCAD 2024 - English 2024 (24.3s (LMS Tech)),2024-04-25,2024-04-25,1
